"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-27","87.7","1.96","5.82","DJ LeMahieu",518934,641447,"field_out","hit_into_play",,,,,"8","DJ LeMahieu grounds out sharply, shortstop Jazz Chisholm to first baseman Jesus Aguilar.  ","R","R","L","NYY","MIA","X",6,"ground_ball",1,0,2020,"0.4","1.1","0.05","2.03","null","null",642180,2,7,"Bot","113.82","135.79",,,"595453",,"null",-5.4379131853682,-127.64452790644779,-5.259026720391394,5.325876037123953,26.08733627024301,-19.59435160692794,"3.35","1.60","134","107.2","6","88.0","2222","6.4",631188,641447,"595453","542583","542932","605119","665862","642423","621446","459964","54.08","0.636","0.572","0.00",1,0,0,4,61,"2","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2020-09-27","86.6","1.97","5.93","DJ LeMahieu",518934,641447,"single","hit_into_play_no_out",,,,,"4","DJ LeMahieu singles on a sharp line drive to left fielder Magneuris Sierra.  ","R","R","L","NYY","MIA","X",7,"line_drive",3,2,2020,"0.6","0.8","-0.48","2.74","null","null","null",1,5,"Bot","81.61","117.79",,,"595453",,"null",-7.045348606401758,-125.9159688296678,-3.0563274979864063,7.785372182982765,25.528300561633774,-23.17263228687309,"3.35","1.60","146","106.7","8","86.5","2217","6.3",631188,641447,"595453","542583","542932","605119","665862","642423","621446","459964","54.22","0.707","0.636","0.90",1,1,0,4,42,"6","4-Seam Fastball",0,4,0,4,4,0,0,4,"Strategic","Strategic"
"SL","2020-09-27","86.2","-2.04","5.72","DJ LeMahieu",518934,570632,"single","hit_into_play_no_out",,,,,"5","DJ LeMahieu singles on a sharp line drive to pitcher Jose Urena.  ","R","R","R","NYY","MIA","X",1,"line_drive",0,1,2020,"0.3","0.2","0.10","2.42","null","null","null",1,3,"Bot","127.53","188.21",,,"595453",,"null",4.558199442457822,-125.5360092379584,-2.006401749315141,1.9114621865765324,23.903967608743454,-30.185296903683994,"3.35","1.60","96","103.9","5","86.3","2342","6.2",631188,570632,"595453","542583","542932","605119","665862","642423","621446","459964","54.34","0.579","0.521","0.90",1,1,0,4,26,"2","Slider",0,3,0,3,3,0,0,3,"Standard","Standard"
"SI","2020-09-26","89.6","-2.77","5.43","DJ LeMahieu",518934,543883,"single","hit_into_play_score",,,,,"4","DJ LeMahieu singles on a line drive to center fielder Monte Harrison.   Aaron Hicks scores.    Gary Sanchez to 2nd.  ","R","R","R","NYY","MIA","X",8,"line_drive",1,1,2020,"-1.1","1.1","-0.73","2.24","null",543305,596142,2,7,"Bot","135.01","90.69",,,"595751",,"null",7.324577285260542,-130.26743119550306,-4.15170065029476,-13.909627161562918,28.19840256149524,-19.10140149029933,"3.35","1.60","158","97.6","8","89.3","2242","6.2",631193,543883,"595751","643265","665862","542932","500743","642423","656509","621446","54.28","0.593","0.534","0.90",1,1,0,4,69,"3","Sinker",10,4,10,4,4,10,10,4,"Strategic","Standard"
"CU","2020-09-26","80.3","3.38","5.71","DJ LeMahieu",518934,605501,"double","hit_into_play_score",,,,,"4","DJ LeMahieu doubles (10) on a sharp line drive to left fielder Magneuris Sierra.   Clint Frazier scores.    Gary Sanchez scores.  ","R","R","L","NYY","MIA","X",7,"line_drive",0,1,2020,"-0.9","0.0","-0.64","2.59",640449,596142,"null",1,6,"Bot","78.35","139.04",,,"595751",,"null",-7.229080122447739,-116.64663810595975,-0.06961331178684205,-6.332315528031107,24.358722835896955,-32.729685092497164,"3.35","1.60","185","105.8","11","79.6","2324","6.2",631193,605501,"595751","643265","665862","542932","500743","642423","656509","621446","54.32","0.921","0.837","1.25",1,1,1,4,54,"2","Curveball",5,3,5,3,3,5,5,3,"Strategic","Standard"
"SL","2020-09-26","89.4","-1.11","6.11","DJ LeMahieu",518934,592773,"field_out","hit_into_play",,,,,"14","DJ LeMahieu grounds out, first baseman Garrett Cooper to pitcher Ryne Stanek.  ","R","R","R","NYY","MIA","X",3,"ground_ball",0,1,2020,"0.2","0.3","0.28","1.40","null","null","null",1,5,"Bot","128.37","195.82",,,"595751",,"null",3.0893686828758993,-130.1292832395292,-6.271754226387214,1.063950669531258,28.688318016862695,-27.267575081761205,"3.35","1.60","21","69.2","-2","89.0","2262","6.1",631193,592773,"595751","643265","665862","542932","500743","642423","656509","621446","54.39","0.129","0.116","0.00",1,0,0,2,42,"2","Slider",2,3,2,3,3,2,2,3,"Strategic","Standard"
"SI","2020-09-26","95.3","2.33","5.63","DJ LeMahieu",518934,669432,"single","hit_into_play_no_out",,,,,"5","DJ LeMahieu singles on a sharp line drive to right fielder Lewis Brinson.  ","R","R","L","NYY","MIA","X",9,"line_drive",2,2,2020,"1.6","1.2","0.17","2.64","null","null","null",2,3,"Bot","172.59","82.42",,,"595751",,"null",-9.215811420969997,-138.289355516469,-4.806122771280911,22.03917643720196,34.03198795070093,-16.214517735710544,"3.35","1.60","170","102.2","8","95.3","2653","6.7",631193,669432,"595751","643265","665862","542932","500743","642423","656509","621446","53.81","0.714","0.643","0.90",1,1,0,4,24,"7","Sinker",0,3,0,3,3,0,0,3,"Strategic","Standard"
"SL","2020-09-26","80.1","2.53","5.60","DJ LeMahieu",518934,669432,"double","hit_into_play_no_out",,,,,"7","DJ LeMahieu doubles (9) on a sharp line drive to left fielder Magneuris Sierra.  ","R","R","L","NYY","MIA","X",7,"line_drive",1,2,2020,"0.0","0.2","-0.70","1.76","null","null","null",0,1,"Bot","66.36","134.71",,,"595751",,"null",-7.181454950615436,-116.3836096536883,-2.069094133196754,1.609811100370305,25.854970876115914,-29.844936549956923,"3.35","1.60","210","103.1","13","79.9","1957","6.6",631193,669432,"595751","643265","665862","542932","500743","642423","656509","621446","53.88","0.871","0.784","1.25",1,1,1,4,4,"4","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-25","92.2","-1.16","5.77","DJ LeMahieu",518934,445213,"grounded_into_double_play","hit_into_play",,,,,"6","DJ LeMahieu grounds into a double play, shortstop Miguel Rojas to first baseman Jesus Aguilar.   Clint Frazier out at 2nd.    DJ LeMahieu out at 1st.  ","R","R","R","NYY","MIA","X",6,"ground_ball",1,2,2020,"-1.2","0.8","0.43","2.30",642180,650402,640449,1,10,"Bot","127.08","143.99",,,"595751",,"null",6.696121407039284,-134.17104256909755,-4.692747543814943,-15.904257747813423,27.462169175974513,-22.281543955191935,"3.36","1.61","2","60.4","-60","92.9","1863","6.6",631191,445213,"595751","542583","542932","605119","500743","642423","516782","621446","53.90","0.257","0.231","0.00",1,0,0,2,77,"4","Sinker",3,4,3,4,4,3,3,4,"Standard","Standard"
"FF","2020-09-25","97.9","-2.45","5.83","DJ LeMahieu",518934,645261,"field_out","hit_into_play",,,,,"8","DJ LeMahieu lines out sharply to right fielder Lewis Brinson.  ","R","R","R","NYY","MIA","X",9,"line_drive",0,1,2020,"-0.8","1.2","-0.17","2.03","null","null","null",2,5,"Bot","171.63","94.78",,,"595453",,"null",7.895883570233388,-142.21509515085813,-7.396019143076647,-12.384545839438093,32.489227008101665,-14.751887008107149,"3.36","1.61","272","103.6","13","97.1","2336","5.9",631191,645261,"595453","542583","542932","605119","500743","572816","516782","621446","54.60","0.879","0.791","0.00",1,0,0,4,41,"2","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
